record_id,what_is_your_gender,in_which_year_of_your_studies_are_you_cu,what_was_your_bac_specialty,how_many_hours_per_week_do_you_spend_stu,where_do_you_prefer_to_study,you_prefer_to_study,what_learning_methods_do_help_you_unders,what_types_of_resources_do_you_use_most,do_you_use_a_planer_or_a_schedule_in_you,for_the_next_8_questions_you_will_have_a,2_second,3_third,4_fourth,5_fifth,6_sixth,7_seventh,8_eighth,other_problems_that_you_face,rate_your_satisfaction_with_the_school_s,do_you_engage_in_any_external_activities,your_level_of_motivation_for_joining_ens,how_much_do_you_like_the_field_of_artifi,how_do_other_s_feedback_influence_you,how_many_hours_do_you_sleep,how_well_do_you_handle_stress_and_pressu,in_a_scale_of_1_to_10_how_do_you_rate_yo,2_programming,3_computer_science,4_mathematics,4_forth,how_do_others_feedbacks_influence_you,1y_average
11,Female,Second year,Mathematics,More than 41 hours,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Not having a good (powerful) computer,Lack of motivation,2.0,No,5.0,4.0,You do not care about,5-7 hours,2.0,7.0,4.0,4.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,10.0
12,Male,Second year,Mathematics,10-17,In the school's library,In peer,Lectures,Online tutorials;YouTube videos,No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Private life problems,Not having a good (powerful) computer,Private life problems,.,2.0,Yes,3.0,4.0,You do not care about,5-7 hours,5.0,8.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,10.0
13,Female,Second year,Science,10-17,In your room (dorms),In peer,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,No,Pressure,Lack of time,Teachers' teaching method,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Lack of motivation,3.0,No,4.0,4.0,Negatively,5-7 hours,3.0,8.0,5.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
14,Male,Second year,Mathematics,More than 41 hours,In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Teachers' teaching method,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Lack of motivation,1.0,Yes,5.0,1.0,You do not care about,5-7 hours,1.0,4.0,8.0,7.0,9.0,Lack of previous knowledge or experience in the field,Negatively,11.0
15,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online documents,Yes,Lack of time,Teachers' teaching method,Pressure,Lack of time,Lack of time,Lack of time,Lack of time,Lack of time,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,2.0,5.0,You do not care about,8 hours or more,5.0,10.0,8.0,8.0,3.0,Bad quality of internet,You do not care about,11.0
16,Female,Second year,Science,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Bad quality of internet,Lack of time,Teachers' teaching method,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,4.0,5.0,Positively,8 hours or more,3.0,8.0,8.0,8.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
17,Male,Second year,Science,10-17,In your room (dorms),With a group,Learning by practicing,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,1.0,4.0,You do not care about,8 hours or more,5.0,8.0,3.0,3.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
18,Male,Third year,Mathematics,10-17,In the school's library,Alone,Learning by practicing,Books;YouTube videos,No,Private life problems,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Nothing,3.0,Yes,5.0,4.0,You do not care about,8 hours or more,3.0,6.0,8.0,8.0,7.0,Bad quality of internet,You do not care about,11.0
19,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops","Books, Online documents, YouTube videos",Yes,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,Yes,3.0,3.0,You do not care about,5-7 hours,4.0,6.0,5.0,3.0,3.0,Pressure,Negatively,11.0
20,Female,Second year,Mathematics,18-25,At home,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,ما,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Transportation,3.0,Yes,4.0,4.0,You do not care about,5-7 hours,3.0,8.0,7.0,8.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
21,Male,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,YouTube videos,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,3.0,5.0,You do not care about,5-7 hours,2.0,7.0,5.0,5.0,3.0,Pressure,You do not care about,11.0
22,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,2.0,4.0,You do not care about,8 hours or more,1.0,5.0,6.0,5.0,7.0,Bad quality of internet,You do not care about,11.0
23,Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,No,5.0,5.0,You do not care about,5-7 hours,4.0,8.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,Positively,11.0
24,Female,Second year,Mathematics,26-33,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Trying to balence life with studies,2.0,Yes,5.0,3.0,You do not care about,5-7 hours,2.0,10.0,6.0,4.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
25,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,3.0,No,4.0,4.0,You do not care about,5-7 hours,3.0,7.0,6.0,6.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
26,Female,Second year,Science,34-41,In your room (dorms),Alone,Learning by practicing,Online documents,No,Private life problems,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,5.0,You do not care about,5-7 hours,3.0,9.0,6.0,6.0,9.0,Teachers' teaching method,Positively,11.0
27,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Interactive workshops,YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,3.0,4.0,You do not care about,8 hours or more,3.0,6.0,5.0,5.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
28,Female,Second year,Science,18-25,In the school's library,Alone,Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,Yes,3.0,5.0,You do not care about,5-7 hours,1.0,7.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
29,Male,Third year,Mathematics,18-25,In your room (dorms),With a group,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,Yes,4.0,3.0,You do not care about,5-7 hours,2.0,6.0,6.0,6.0,7.0,Bad quality of internet,You do not care about,11.0
30,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing,Online documents;YouTube videos,No,Private life problems,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,4.0,3.0,You do not care about,5-7 hours,3.0,5.0,4.0,4.0,5.0,Bad quality of internet,You do not care about,11.0
31,Female,Second year,Science,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,3.0,5.0,You do not care about,8 hours or more,3.0,7.0,6.0,6.0,6.0,Teaching language,You do not care about,11.0
32,Female,Second year,Mathematics,10-17,At home,Alone,"Lectures, Learning by practicing, Project-based learning","Books, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Lack of time,Lack of time,Lack of motivation,3.0,No,3.0,5.0,You do not care about,8 hours or more,3.0,7.0,6.0,6.0,5.0,Private life problems,Positively,11.0
33,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos, couses and slides sent by our teachers",Yes,Bad quality of internet,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,3.0,Yes,4.0,3.0,You do not care about,5-7 hours,2.0,8.0,7.0,8.0,6.0,Teachers' teaching method,Positively,11.0
34,Female,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, asking friends",Yes,Private life problems,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,Yes,5.0,4.0,You do not care about,5-7 hours,1.0,7.0,5.0,3.0,4.0,Bad quality of internet,Negatively,11.0
35,Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,1.0,No,1.0,5.0,You do not care about,4 hours or less,1.0,10.0,6.0,7.0,8.0,Bad quality of internet,Positively,11.0
36,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,4.0,4.0,You do not care about,5-7 hours,3.0,7.0,5.0,4.0,4.0,Teachers' teaching method,Positively,11.0
37,Female,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,4.0,2.0,You do not care about,5-7 hours,4.0,8.0,5.0,5.0,8.0,Bad quality of internet,You do not care about,11.0
38,Female,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Teaching language,Private life problems,Lack of motivation,3.0,No,5.0,5.0,You do not care about,5-7 hours,5.0,9.0,6.0,6.0,8.0,Lack of time,You do not care about,11.0
39,Female,Second year,Science,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,5.0,You do not care about,8 hours or more,2.0,8.0,6.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,11.0
40,Female,Second year,Science,26-33,At home,Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,2.0,3.0,You do not care about,5-7 hours,3.0,6.0,6.0,6.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
41,Male,Second year,Mathematics,18-25,In the school's library,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,Lack of motivation,2.0,Yes,3.0,3.0,Negatively,5-7 hours,3.0,8.0,6.0,4.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
42,Female,Second year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents",Yes,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,2.0,5.0,You do not care about,5-7 hours,1.0,7.0,5.0,6.0,8.0,Lack of previous knowledge or experience in the field,Positively,12.0
43,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Online courses and tutorials,Online documents;YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Lack of time,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,No,5.0,5.0,Positively,5-7 hours,4.0,6.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
44,Male,Second year,Technical maths,26-33,In your room (dorms),Alone,Learning by practicing;Online courses and tutorials,Books;YouTube videos,No,Teachers' teaching method,Lack of time,ما,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,5.0,5.0,Positively,5-7 hours,2.0,7.0,7.0,8.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Private life problems,Teaching language,Bad quality of internet,"social media addiction , health problems, not being able to work on a team in group projects",2.0,Yes,2.0,3.0,You do not care about,5-7 hours,1.0,7.0,2.0,5.0,2.0,Unknown,Unknown,12.0
46,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating,2.0,Yes,1.0,1.0,You do not care about,8 hours or more,1.0,9.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
47,Female,Second year,Science,18-25,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents,Yes,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of energy,3.0,No,4.0,5.0,You do not care about,5-7 hours,1.0,7.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
48,Male,Third year,Mathematics,10-17,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos;Chat GPT,No,Pressure,Teaching language,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,3.0,3.0,You do not care about,5-7 hours,3.0,6.0,7.0,7.0,8.0,Bad quality of internet,You do not care about,12.0
49,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Project-based learning, Interactive workshops, Online courses and tutorials","Books, YouTube videos",No,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Pressure,Private life problems,Lack of motivation,3.0,Yes,5.0,5.0,You do not care about,4 hours or less,2.0,3.0,5.0,5.0,5.0,Lack of time,Positively,12.0
50,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,3.0,You do not care about,5-7 hours,2.0,9.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
51,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Interactive workshops","Books, YouTube videos",Yes,Bad quality of internet,Not having a good (powerful) computer,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Lack of motivation,2.0,No,2.0,5.0,You do not care about,5-7 hours,3.0,7.0,3.0,2.0,8.0,Pressure,You do not care about,12.0
52,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Private life problems,Lack of motivation,2.0,Yes,5.0,5.0,You do not care about,5-7 hours,3.0,5.0,5.0,4.0,6.0,Lack of time,Positively,12.0
53,Male,Second year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,2.0,4.0,You do not care about,5-7 hours,2.0,8.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
54,Male,Second year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,4.0,5.0,You do not care about,5-7 hours,2.0,9.0,4.0,5.0,7.0,Pressure,You do not care about,12.0
55,Female,Second year,Science,26-33,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Teaching language,Lack of motivation,3.0,No,2.0,3.0,Negatively,8 hours or more,2.0,7.0,5.0,3.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
56,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Not having a good (powerful) computer,Teachers' teaching method,Lack of time,Private life problems,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Lack of motivation,2.0,No,1.0,1.0,Positively,8 hours or more,3.0,8.0,7.0,9.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
57,Male,Second year,Mathematics,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Pressure,Private life problems,Teachers' teaching method,Teaching language,Lack of motivation,3.0,No,5.0,5.0,Positively,5-7 hours,3.0,8.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,12.0
58,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,3.0,5.0,Positively,5-7 hours,3.0,6.0,7.0,7.0,6.0,Bad quality of internet,You do not care about,12.0
