record_id,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,1y average s1,1y average s2,1y average,2y average s1,2y average s2,2y average,3y average s1,3y average s2,3y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,4 forth,how do others feedbacks influence you,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin,year_ordinal,inferred_year_from_grades
11,Female,Second year,Mathematics,More than 41 hours,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Not having a good (powerful) computer,Lack of motivation,2.0,No,5.0,4.0,You do not care about,5-7 hours,2.0,7.0,4.0,4.0,6.0,13.0,9.0,10.0,,,,,,,,,,,,High,Moderate,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,Very High,High,High,Moderate,Moderate,Moderate,Moderate,High,Very Low,,,,,,,,,,,,,,2,1.0
12,Male,Second year,Mathematics,10-17,In the school's library,In peer,Lectures,Online tutorials;YouTube videos,No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Private life problems,Not having a good (powerful) computer,Private life problems,.,2.0,Yes,3.0,4.0,You do not care about,5-7 hours,5.0,8.0,6.0,6.0,6.0,,,10.0,9.0,,,,,,Moderate,Low,Low,High,High,Moderate,Moderate,High,Moderate,High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,2.0
13,Female,Second year,Science,10-17,In your room (dorms),In peer,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,No,Pressure,Lack of time,Teachers' teaching method,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Lack of motivation,3.0,No,4.0,4.0,Negatively,5-7 hours,3.0,8.0,5.0,6.0,6.0,10.0,12.0,11.0,,,,,,,Moderate,High,Moderate,Moderate,High,Moderate,High,High,Very Low,Low,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
14,Male,Second year,Mathematics,More than 41 hours,In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Teachers' teaching method,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Lack of motivation,1.0,Yes,5.0,1.0,You do not care about,5-7 hours,1.0,4.0,8.0,7.0,9.0,11.0,10.0,11.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Negatively,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Low,,,,,,,,,,,,,,2,1.0
15,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online documents,Yes,Lack of time,Teachers' teaching method,Pressure,Lack of time,Lack of time,Lack of time,Lack of time,Lack of time,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,2.0,5.0,You do not care about,8 hours or more,5.0,10.0,8.0,8.0,3.0,11.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,1.0
16,Female,Second year,Science,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Bad quality of internet,Lack of time,Teachers' teaching method,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,4.0,5.0,Positively,8 hours or more,3.0,8.0,8.0,8.0,6.0,12.0,10.0,11.0,,,,,,,Moderate,High,Low,High,High,High,Moderate,High,Low,Low,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
17,Male,Second year,Science,10-17,In your room (dorms),With a group,Learning by practicing,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,1.0,4.0,You do not care about,8 hours or more,5.0,8.0,3.0,3.0,7.0,12.0,10.0,11.0,,,,,,,High,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,Low,Low,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
18,Male,Third year,Mathematics,10-17,In the school's library,Alone,Learning by practicing,Books;YouTube videos,No,Private life problems,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Nothing,3.0,Yes,5.0,4.0,You do not care about,8 hours or more,3.0,6.0,8.0,8.0,7.0,12.0,10.0,11.0,12.0,10.0,11.0,,,,High,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Moderate,High,Moderate,Low,High,High,High,High,Very Low,Very High,High,High,High,Moderate,High,Low,High,High,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
19,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops","Books, Online documents, YouTube videos",Yes,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,Yes,3.0,3.0,You do not care about,5-7 hours,4.0,6.0,5.0,3.0,3.0,12.0,10.0,11.0,,,,,,,,,,,,Very High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,Negatively,High,High,High,Moderate,Moderate,Moderate,High,High,Low,,,,,,,,,,,,,,2,1.0
20,Female,Second year,Mathematics,18-25,At home,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,ما,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Transportation,3.0,Yes,4.0,4.0,You do not care about,5-7 hours,3.0,8.0,7.0,8.0,6.0,12.0,10.0,11.0,,,,,,,Moderate,Moderate,Moderate,High,Very High,Very High,Moderate,Moderate,Moderate,Low,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
21,Male,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,YouTube videos,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,3.0,5.0,You do not care about,5-7 hours,2.0,7.0,5.0,5.0,3.0,12.0,11.0,11.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,High,High,Very High,Moderate,Moderate,Moderate,High,High,Moderate,,,,,,,,,,,,,,2,1.0
22,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,2.0,4.0,You do not care about,8 hours or more,1.0,5.0,6.0,5.0,7.0,12.0,11.0,11.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,Moderate,High,High,High,Low,High,High,Moderate,Low,,,,,,,,,,,,,,2,1.0
23,Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,No,5.0,5.0,You do not care about,5-7 hours,4.0,8.0,5.0,6.0,7.0,12.0,11.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,High,High,High,Moderate,High,Moderate,High,High,Low,,,,,,,,,,,,,,2,1.0
24,Female,Second year,Mathematics,26-33,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Trying to balence life with studies,2.0,Yes,5.0,3.0,You do not care about,5-7 hours,2.0,10.0,6.0,4.0,5.0,12.0,11.0,11.0,,,,,,,Moderate,Moderate,Moderate,Moderate,Very High,High,Moderate,Moderate,Moderate,Low,Moderate,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
25,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,3.0,No,4.0,4.0,You do not care about,5-7 hours,3.0,7.0,6.0,6.0,8.0,12.0,11.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,High,High,High,Moderate,Moderate,Low,High,High,High,,,,,,,,,,,,,,2,1.0
26,Female,Second year,Science,34-41,In your room (dorms),Alone,Learning by practicing,Online documents,No,Private life problems,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,5.0,You do not care about,5-7 hours,3.0,9.0,6.0,6.0,9.0,12.0,11.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Positively,High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,,,,,,,,,,,,,,2,1.0
27,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Interactive workshops,YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,3.0,4.0,You do not care about,8 hours or more,3.0,6.0,5.0,5.0,5.0,12.0,11.0,11.0,,,,,,,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
28,Female,Second year,Science,18-25,In the school's library,Alone,Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,Yes,3.0,5.0,You do not care about,5-7 hours,1.0,7.0,5.0,6.0,7.0,12.0,11.0,11.0,8.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,2.0
29,Male,Third year,Mathematics,18-25,In your room (dorms),With a group,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,Yes,4.0,3.0,You do not care about,5-7 hours,2.0,6.0,6.0,6.0,7.0,12.0,11.0,11.0,11.0,11.0,11.0,,,,High,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
30,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing,Online documents;YouTube videos,No,Private life problems,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,4.0,3.0,You do not care about,5-7 hours,3.0,5.0,4.0,4.0,5.0,13.0,9.0,11.0,11.0,12.0,12.0,,,,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
31,Female,Second year,Science,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,3.0,5.0,You do not care about,8 hours or more,3.0,7.0,6.0,6.0,6.0,13.0,9.0,11.0,,,,,,,,,,,,High,Low,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,You do not care about,High,High,High,Moderate,High,Low,Moderate,High,Moderate,,,,,,,,,,,,,,2,1.0
32,Female,Second year,Mathematics,10-17,At home,Alone,"Lectures, Learning by practicing, Project-based learning","Books, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Lack of time,Lack of time,Lack of motivation,3.0,No,3.0,5.0,You do not care about,8 hours or more,3.0,7.0,6.0,6.0,5.0,13.0,10.0,11.0,,,,,,,,,,,,High,High,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,Positively,High,High,High,Moderate,Moderate,Moderate,High,High,Low,,,,,,,,,,,,,,2,1.0
33,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos, couses and slides sent by our teachers",Yes,Bad quality of internet,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,3.0,Yes,4.0,3.0,You do not care about,5-7 hours,2.0,8.0,7.0,8.0,6.0,13.0,10.0,11.0,,,,,,,,,,,,High,High,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Positively,High,High,High,Moderate,High,Moderate,Moderate,High,Moderate,,,,,,,,,,,,,,2,1.0
34,Female,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, asking friends",Yes,Private life problems,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,Yes,5.0,4.0,You do not care about,5-7 hours,1.0,7.0,5.0,3.0,4.0,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,Negatively,Very High,High,High,Moderate,High,Moderate,Moderate,Very High,Moderate,,,,,,,,,,,,,,2,1.0
35,Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,1.0,No,1.0,5.0,You do not care about,4 hours or less,1.0,10.0,6.0,7.0,8.0,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,Positively,High,High,High,Moderate,High,Moderate,High,High,Moderate,,,,,,,,,,,,,,2,1.0
36,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,4.0,4.0,You do not care about,5-7 hours,3.0,7.0,5.0,4.0,4.0,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Positively,High,High,High,Moderate,High,Moderate,Moderate,Very High,Low,,,,,,,,,,,,,,2,1.0
