record_id,gender,study_year,bac_specialty,how many hours per week do you spend studying personnal efforts,study_place,study_style,learning_methods,what types of resources do you use most,use_schedule,5 fifth,6 sixth,7 seventh,8 eighth,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,sleep_hours,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,2y average s1,2y average s2,2y average,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded
84,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Online tutorials;YouTube videos,Yes,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,2.0,4.0,4.0,5-7 hours,4.0,9.0,7.0,9.0,8.0,Unknown,Unknown,4,3.0,12.0,11.0,12.0,Moderate,Moderate,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,0,1,4,8,1,2
85,Female,Third year,Science,26-33,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents,No,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,2.0,4.0,5-7 hours,5.0,8.0,7.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,13.0,Moderate,Moderate,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,6,1,1,0,0
86,Female,Fourth year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,Yes,Not having a good (powerful) computer,Private life problems,Pressure,Pressure,2.0,3.0,4.0,5-7 hours,2.0,9.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,11.0,12.0,11.0,Moderate,Moderate,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,2,1,0,8,0,2
93,Female,Second year,Mathematics,18-25,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,Yes,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,3.0,4.0,5.0,8 hours or more,1.0,9.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,9.0,9.0,9.0,Moderate,Moderate,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,5,1,9,1,0
96,Female,Third year,Science,18-25,At home,In peer,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,No,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,3.0,4.0,5-7 hours,3.0,7.0,6.0,6.0,6.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,12.0,High,High,High,Moderate,Low,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,1,6,4,1,0,0
100,Female,Third year,Science,10-17,At home,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Teaching language,3.0,4.0,5.0,5-7 hours,4.0,7.0,8.0,7.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,12.0,High,Moderate,Very High,High,Low,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,6,5,6,1,1
103,Female,Third year,Mathematics,10-17,At home,Alone,Lectures;Learning by practicing,Online tutorials;YouTube videos,No,Pressure,Teaching language,Lack of time,Private life problems,2.0,2.0,2.0,8 hours or more,4.0,7.0,7.0,7.0,9.0,Bad quality of internet,You do not care about,3,3.0,12.0,11.0,11.0,Moderate,High,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,1,0,6,4,1,1,2
105,Female,Third year,Technical maths,18-25,In the school's library,With a group,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops,Online tutorials;YouTube videos,Yes,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,3.0,5.0,5-7 hours,4.0,8.0,7.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,12.0,12.0,12.0,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,6,1,1,1,1
107,Female,Third year,Science,18-25,At home,In peer,Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Bad quality of internet,Private life problems,Teachers' teaching method,Not having a good (powerful) computer,3.0,3.0,5.0,5-7 hours,3.0,8.0,8.0,8.0,8.0,Bad quality of internet,You do not care about,3,2.0,13.0,11.0,13.0,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,1,6,1,0,1
119,Male,Third year,Mathematics,10-17,At home,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Pressure,Bad quality of internet,Private life problems,Teaching language,2.0,3.0,4.0,5-7 hours,3.0,8.0,8.0,7.0,7.0,Bad quality of internet,You do not care about,3,2.0,11.0,11.0,11.0,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,1,6,3,1,1,2
122,Female,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Teaching language,4.0,2.0,5.0,5-7 hours,3.0,8.0,9.0,9.0,9.0,Unknown,Unknown,4,3.0,13.0,11.0,12.0,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,0,4,1,2,8,1,1
128,Female,Third year,Science,34-41,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,3.0,5.0,5.0,5-7 hours,4.0,8.0,9.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,14.0,14.0,14.0,Moderate,Low,High,Moderate,Low,High,High,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,2,0,5,1,1,1
131,Male,Third year,Science,10-17,At home,In peer,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,YouTube videos,No,Pressure,Private life problems,Bad quality of internet,Not having a good (powerful) computer,4.0,3.0,3.0,8 hours or more,5.0,7.0,7.0,7.0,7.0,Bad quality of internet,You do not care about,3,2.0,11.0,14.0,12.0,High,Moderate,Moderate,High,Moderate,High,Moderate,High,Low,Moderate,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,7,1,6,2,1,1,1
136,Male,Third year,Science,10-17,In your room (dorms),In peer,Lectures;Mind mapping and visualization,YouTube videos;Resources provided by teachers (slides),No,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,4.0,5.0,5.0,5-7 hours,5.0,8.0,8.0,8.0,8.0,Bad quality of internet,You do not care about,3,2.0,14.0,14.0,14.0,Very High,Moderate,High,High,Moderate,High,Moderate,High,Very High,High,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,0,6,7,1,1
137,Female,Fourth year,Technical maths,More than 41,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,Yes,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,3.0,4.0,5-7 hours,3.0,7.0,6.0,7.0,9.0,Unknown,Unknown,4,3.0,13.0,11.0,12.0,Very High,Moderate,High,High,Moderate,High,Moderate,High,Very High,High,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,2,0,4,8,0,2
138,Male,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Books,No,Pressure,Lack of time,Not having a good (powerful) computer,Teaching language,3.0,3.0,4.0,5-7 hours,2.0,9.0,8.0,7.0,7.0,Unknown,Unknown,4,3.0,14.0,11.0,13.0,Very High,Moderate,High,High,Moderate,High,Moderate,High,Very High,High,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,5,6,2,1,8,1,2
139,Male,Fourth year,Mathematics,10-17,In the school's library,In peer,Project-based learning;Interactive workshops,Books;Online tutorials,No,Not having a good (powerful) computer,Private life problems,Bad quality of internet,Teaching language,2.0,4.0,4.0,8 hours or more,2.0,9.0,9.0,9.0,7.0,Unknown,Unknown,4,2.0,14.0,11.0,13.0,Very High,Moderate,High,High,Moderate,High,Moderate,High,Very High,High,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,2,6,1,8,1,2
143,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Books;YouTube videos,No,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,5.0,5.0,8 hours or more,5.0,4.0,8.0,8.0,9.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,13.0,High,Moderate,High,Moderate,Moderate,High,Very Low,Moderate,High,Moderate,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,6,1,0,12,0,2
149,Male,Third year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,3.0,3.0,4.0,8 hours or more,3.0,7.0,7.0,7.0,8.0,Bad quality of internet,You do not care about,3,2.0,13.0,13.0,13.0,High,High,High,High,Moderate,High,Moderate,Moderate,High,High,High,High,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,2,1,4,1,1,2
160,Male,Third year,Science,10-17,In your room (dorms),In peer,Lectures;Learning by practicing;Project-based learning,Online documents;Slides,No,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Bad quality of internet,3.0,4.0,4.0,5-7 hours,5.0,8.0,8.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,13.0,13.0,High,Moderate,High,Moderate,Low,Very High,Moderate,High,High,Moderate,Moderate,High,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,2,6,0,1,1,2
162,Male,Third year,Mathematics,10-17,In your room (dorms),In peer,Lectures;Learning by practicing;Project-based learning,Online documents;Lectures,No,Pressure,Bad quality of internet,Private life problems,Teachers' teaching method,3.0,4.0,4.0,5-7 hours,4.0,6.0,8.0,8.0,9.0,Bad quality of internet,You do not care about,3,2.0,14.0,14.0,14.0,High,Moderate,High,Moderate,Moderate,High,Moderate,Very High,High,Moderate,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,4,2,1,4,1,0
167,Male,Second year,Science,10-17,In your room (dorms),In peer,Lectures;Learning by practicing,YouTube videos,Yes,Pressure,Pressure,Pressure,Pressure,3.0,3.0,3.0,5-7 hours,5.0,7.0,6.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,12.0,11.0,10.0,High,Moderate,High,Moderate,Moderate,High,Moderate,Very High,High,Moderate,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,4,2,4,13,0,2
171,Female,Third year,Science,34-41,In the school's library,With a group,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization,Online documents;YouTube videos;Chatgpt,No,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Private life problems,Not having a good (powerful) computer,2.0,3.0,3.0,5-7 hours,2.0,7.0,5.0,5.0,4.0,Bad quality of internet,You do not care about,3,2.0,15.0,14.0,14.0,High,High,High,Moderate,Moderate,Very High,High,High,High,High,Moderate,Moderate,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,0,6,1,0,0
173,Female,Third year,Science,18-25,In the school's library,Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,YouTube videos;ChatGpt,No,Lack of time,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,3.0,5.0,5.0,8 hours or more,1.0,7.0,7.0,6.0,5.0,Bad quality of internet,You do not care about,3,2.0,12.0,12.0,12.0,Moderate,Moderate,High,Moderate,Low,High,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,5,0,1,4,1,1,2
175,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,3.0,4.0,5.0,8 hours or more,3.0,9.0,8.0,8.0,8.0,Unknown,Unknown,4,3.0,14.0,14.0,14.0,High,Moderate,High,High,Moderate,High,High,Moderate,Very High,Very High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,5,0,7,2,11,1,1
176,Male,Third year,Science,18-25,In your room (dorms),Alone,Project-based learning;Online courses and tutorials,Books,No,Teaching language,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,3.0,3.0,4.0,5-7 hours,4.0,8.0,7.0,5.0,8.0,Bad quality of internet,You do not care about,3,2.0,13.0,13.0,13.0,High,High,High,Moderate,Moderate,Very High,Moderate,High,High,Moderate,High,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,0,1,3,1,1
177,Male,Fourth year,Technical maths,18-25,In the school's library,Alone,Lectures;Learning by practicing;Project-based learning,Books;Online documents;Private courses,No,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,4.0,5.0,5.0,8 hours or more,4.0,9.0,9.0,7.0,6.0,Unknown,Unknown,4,3.0,16.0,15.0,15.0,High,High,High,Moderate,Moderate,Very High,Moderate,High,High,Moderate,High,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,6,0,8,1,1
