record_id,gender,study_year,bac_specialty,how many hours per week do you spend studying personnal efforts,study_place,study_style,learning_methods,what types of resources do you use most,use_schedule,5 fifth,6 sixth,7 seventh,8 eighth,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,sleep_hours,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded
11,Female,Second year,Mathematics,More than 41 hours,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Not having a good (powerful) computer,2.0,5.0,4.0,5-7 hours,2.0,7.0,4.0,4.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,9.0,10.0,Very High,Moderate,Moderate,Moderate,High,High,Moderate,High,Low,Low,Moderate,High,Very High,High,High,Moderate,Moderate,Moderate,Moderate,High,Very Low,5,4,2,1,8,0,2
12,Male,Second year,Mathematics,10-17,In the school's library,In peer,Lectures,Online tutorials;YouTube videos,No,Lack of time,Private life problems,Not having a good (powerful) computer,Private life problems,2.0,3.0,4.0,5-7 hours,5.0,8.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,13.0,9.0,10.0,Moderate,Low,Low,High,High,Moderate,Moderate,High,Moderate,High,Moderate,High,Very High,High,High,Moderate,Moderate,Moderate,Moderate,High,Very Low,6,4,1,6,0,1,2
13,Female,Second year,Science,10-17,In your room (dorms),In peer,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,No,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,3.0,4.0,4.0,5-7 hours,3.0,8.0,5.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,10.0,12.0,11.0,Moderate,High,Moderate,Moderate,High,Moderate,High,High,Very Low,Low,Low,High,Very High,High,High,Moderate,Moderate,Moderate,Moderate,High,Very Low,3,2,6,5,8,0,0
14,Male,Second year,Mathematics,More than 41 hours,In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Not having a good (powerful) computer,Bad quality of internet,Private life problems,1.0,5.0,1.0,5-7 hours,1.0,4.0,8.0,7.0,9.0,Lack of previous knowledge or experience in the field,Negatively,2,1.0,11.0,10.0,11.0,Moderate,High,Moderate,Moderate,High,High,High,High,Moderate,Low,Low,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Low,5,7,4,1,8,1,2
15,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online documents,Yes,Lack of time,Lack of time,Lack of time,Lack of time,2.0,2.0,5.0,8 hours or more,5.0,10.0,8.0,8.0,3.0,Bad quality of internet,You do not care about,3,1.0,11.0,12.0,11.0,Moderate,High,Moderate,Moderate,High,High,High,High,Moderate,Low,Low,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Low,2,6,4,2,4,1,2
16,Female,Second year,Science,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,3.0,4.0,5.0,8 hours or more,3.0,8.0,8.0,8.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,10.0,11.0,Moderate,High,Low,High,High,High,Moderate,High,Low,Low,Low,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Low,0,2,6,5,8,1,1
17,Male,Second year,Science,10-17,In your room (dorms),With a group,Learning by practicing,YouTube videos,No,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,3.0,1.0,4.0,8 hours or more,5.0,8.0,3.0,3.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,10.0,11.0,High,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,Low,Low,High,Moderate,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Low,4,6,1,4,8,1,2
18,Male,Third year,Mathematics,10-17,In the school's library,Alone,Learning by practicing,Books;YouTube videos,No,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,3.0,5.0,4.0,8 hours or more,3.0,6.0,8.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,12.0,10.0,11.0,High,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Moderate,High,Moderate,Low,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Low,4,2,6,1,13,1,2
19,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops","Books, Online documents, YouTube videos",Yes,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,2.0,3.0,3.0,5-7 hours,4.0,6.0,5.0,3.0,3.0,Pressure,Negatively,2,1.0,12.0,10.0,11.0,High,Moderate,Moderate,Moderate,Low,Very High,Moderate,Moderate,Moderate,High,Moderate,Low,High,High,High,Moderate,Moderate,Moderate,High,High,Low,2,1,6,1,8,1,2
20,Female,Second year,Mathematics,18-25,At home,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,3.0,4.0,4.0,5-7 hours,3.0,8.0,7.0,8.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,10.0,11.0,Moderate,Moderate,Moderate,High,Very High,Very High,Moderate,Moderate,Moderate,Low,High,High,High,High,High,Moderate,Moderate,Moderate,High,High,Low,2,4,8,6,23,1,2
21,Male,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,YouTube videos,No,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,2.0,3.0,5.0,5-7 hours,2.0,7.0,5.0,5.0,3.0,Pressure,You do not care about,2,1.0,12.0,11.0,11.0,Moderate,Moderate,Moderate,High,Very High,High,High,Moderate,Moderate,Low,High,High,High,High,Very High,Moderate,Moderate,Moderate,High,High,Moderate,5,2,1,1,8,1,2
22,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,2.0,2.0,4.0,8 hours or more,1.0,5.0,6.0,5.0,7.0,Bad quality of internet,You do not care about,2,1.0,12.0,11.0,11.0,Moderate,Moderate,Moderate,High,Very High,High,High,Moderate,Moderate,Low,High,High,Moderate,High,High,High,Low,High,High,Moderate,Low,5,2,4,1,8,1,2
23,Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,2.0,5.0,5.0,5-7 hours,4.0,8.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,12.0,11.0,11.0,Moderate,Moderate,Moderate,High,Very High,High,Moderate,Moderate,Moderate,Low,High,High,High,High,High,Moderate,High,Moderate,High,High,Low,2,6,4,1,8,0,2
24,Female,Second year,Mathematics,26-33,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,5.0,3.0,5-7 hours,2.0,10.0,6.0,4.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,11.0,11.0,Moderate,Moderate,Moderate,Moderate,Very High,High,Moderate,Moderate,Moderate,Low,Moderate,Very High,High,High,High,Moderate,High,Moderate,High,High,Low,3,2,5,1,24,1,2
25,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,3.0,4.0,4.0,5-7 hours,3.0,7.0,6.0,6.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,11.0,11.0,Moderate,Moderate,Moderate,Moderate,Very High,High,Moderate,Moderate,Moderate,Low,Moderate,Very High,High,High,High,Moderate,Moderate,Low,High,High,High,3,2,0,1,8,0,2
26,Female,Second year,Science,34-41,In your room (dorms),Alone,Learning by practicing,Online documents,No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,3.0,5.0,5-7 hours,3.0,9.0,6.0,6.0,9.0,Teachers' teaching method,Positively,2,1.0,12.0,11.0,11.0,Moderate,Moderate,Moderate,Moderate,Very High,High,Moderate,Moderate,Moderate,Low,Moderate,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,4,2,4,1,8,0,2
27,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Interactive workshops,YouTube videos,No,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,3.0,3.0,4.0,8 hours or more,3.0,6.0,5.0,5.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,11.0,11.0,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,2,4,6,1,8,1,2
28,Female,Second year,Science,18-25,In the school's library,Alone,Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2.0,3.0,5.0,5-7 hours,1.0,7.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,12.0,11.0,11.0,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,3,2,1,7,8,1,2
29,Male,Third year,Mathematics,18-25,In your room (dorms),With a group,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;YouTube videos,No,Teaching language,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,3.0,4.0,3.0,5-7 hours,2.0,6.0,6.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,12.0,11.0,11.0,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,2,4,1,5,4,1,2
30,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing,Online documents;YouTube videos,No,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,2.0,4.0,3.0,5-7 hours,3.0,5.0,4.0,4.0,5.0,Bad quality of internet,You do not care about,3,2.0,13.0,9.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,4,1,4,2,4,0,2
31,Female,Second year,Science,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,3.0,3.0,5.0,8 hours or more,3.0,7.0,6.0,6.0,6.0,Teaching language,You do not care about,2,1.0,13.0,9.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,Moderate,High,Low,Moderate,High,Moderate,3,2,6,1,8,1,2
32,Female,Second year,Mathematics,10-17,At home,Alone,"Lectures, Learning by practicing, Project-based learning","Books, YouTube videos",Yes,Not having a good (powerful) computer,Bad quality of internet,Lack of time,Lack of time,3.0,3.0,5.0,8 hours or more,3.0,7.0,6.0,6.0,5.0,Private life problems,Positively,2,1.0,13.0,10.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,High,High,Low,2,4,1,1,8,0,2
33,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos, couses and slides sent by our teachers",Yes,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,3.0,4.0,3.0,5-7 hours,2.0,8.0,7.0,8.0,6.0,Teachers' teaching method,Positively,2,1.0,13.0,10.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,High,Moderate,Moderate,High,Moderate,0,2,4,1,8,1,2
34,Female,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, asking friends",Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,2.0,5.0,4.0,5-7 hours,1.0,7.0,5.0,3.0,4.0,Bad quality of internet,Negatively,2,1.0,13.0,10.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Very High,High,High,Moderate,High,Moderate,Moderate,Very High,Moderate,4,4,2,1,8,1,2
35,Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,1.0,1.0,5.0,4 hours or less,1.0,10.0,6.0,7.0,8.0,Bad quality of internet,Positively,2,1.0,13.0,10.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,High,Moderate,High,High,Moderate,5,2,4,1,8,0,2
36,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,4.0,4.0,5-7 hours,3.0,7.0,5.0,4.0,4.0,Teachers' teaching method,Positively,2,1.0,13.0,10.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,Moderate,High,Moderate,Moderate,Very High,Low,1,4,2,1,8,0,2
37,Female,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",No,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,2.0,4.0,2.0,5-7 hours,4.0,8.0,5.0,5.0,8.0,Bad quality of internet,You do not care about,2,1.0,13.0,10.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,High,High,Moderate,3,6,2,1,8,1,2
38,Female,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Pressure,Bad quality of internet,Teaching language,Private life problems,3.0,5.0,5.0,5-7 hours,5.0,9.0,6.0,6.0,8.0,Lack of time,You do not care about,2,1.0,13.0,10.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very High,High,High,Moderate,High,Moderate,Moderate,Very High,Moderate,5,2,1,1,8,0,2
39,Female,Second year,Science,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,3.0,5.0,8 hours or more,2.0,8.0,6.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,10.0,11.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very High,High,High,Moderate,High,Moderate,Moderate,High,Moderate,3,2,6,1,8,0,2
40,Female,Second year,Science,26-33,At home,Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,2.0,3.0,5-7 hours,3.0,6.0,6.0,6.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,11.0,12.0,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,High,High,High,Very High,Moderate,2,6,4,1,8,0,2
41,Male,Second year,Mathematics,18-25,In the school's library,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;YouTube videos,No,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,2.0,3.0,3.0,5-7 hours,3.0,8.0,6.0,4.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,11.0,12.0,Moderate,Moderate,Moderate,Moderate,Very High,High,High,High,Moderate,Low,Moderate,Very High,High,High,High,Moderate,High,High,High,Very High,Moderate,2,1,4,6,8,1,0
42,Female,Second year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents",Yes,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,2.0,5.0,5-7 hours,1.0,7.0,5.0,6.0,8.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,12.0,11.0,12.0,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,High,High,Moderate,Low,Moderate,Very High,High,High,High,Moderate,High,Moderate,High,High,Moderate,2,0,4,1,8,0,2
43,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Online courses and tutorials,Online documents;YouTube videos,No,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,5.0,5.0,5-7 hours,4.0,6.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,12.0,12.0,High,High,Moderate,Moderate,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,High,High,Moderate,High,Moderate,High,High,Moderate,1,4,6,2,8,0,1
44,Male,Second year,Technical maths,26-33,In your room (dorms),Alone,Learning by practicing;Online courses and tutorials,Books;YouTube videos,No,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,2.0,5.0,5.0,5-7 hours,2.0,7.0,7.0,8.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,12.0,12.0,Moderate,Moderate,High,High,High,Moderate,High,High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,High,Moderate,High,High,Moderate,5,2,8,5,8,0,1
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Lack of time,Private life problems,Teaching language,Bad quality of internet,2.0,2.0,3.0,5-7 hours,1.0,7.0,2.0,5.0,2.0,Unknown,Unknown,4,3.0,12.0,12.0,12.0,Moderate,Moderate,Low,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,High,Moderate,High,High,Moderate,3,1,6,3,29,1,2
46,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,2.0,1.0,1.0,8 hours or more,1.0,9.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,12.0,12.0,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,High,High,High,Moderate,High,Moderate,High,High,Moderate,3,1,2,5,18,1,2
47,Female,Second year,Science,18-25,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents,Yes,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,3.0,4.0,5.0,5-7 hours,1.0,7.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,13.0,12.0,Moderate,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,High,Moderate,High,High,Moderate,4,4,1,2,7,0,2
