record_id,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,gender_encoded,study_year_encoded,bac_specialty_encoded,how many hours per week do you spend studying personnal efforts_encoded,study_place_encoded,study_style_encoded,learning_methods_encoded,what types of resources do you use most_encoded,use_schedule_encoded,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,5 fifth_encoded,6 sixth_encoded,7 seventh_encoded,8 eighth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded,sleep_hours_encoded,4 forth_encoded,how do others feedbacks influence you_encoded,1y foundational mathematics_encoded,1y dsa1_encoded,1y digital systems_encoded,1y information technology essentials_encoded,1y english 1_encoded,1y cpsct_encoded,1y oop_encoded,1y introduction to linux_encoded,1y linear algebra_encoded,1y mathematical analysis 1_encoded,1y introduction to statistics_encoded,1y english 2_encoded,1y intensive english_encoded,1y seminar_encoded,1y analysis i_encoded,1y algebra_encoded,1y a com i_encoded,1y intro prog c_encoded,1y analysis ii_encoded,1y a com ii_encoded,1y proba stat_encoded
13,3.0,4.0,4.0,3.0,8.0,5.0,6.0,6.0,2,1.0,10.0,12.0,11.0,0,2,1,0,3,1,40,8,0,3,2,6,5,0,1,6,3,8,0,0,1,1,3,2,0,2,2,0,2,0,0,4,1,1,0,2,0,0,1,2,2,1,0,4
14,1.0,5.0,1.0,1.0,4.0,8.0,7.0,9.0,2,1.0,11.0,10.0,11.0,1,2,0,5,1,0,6,29,0,5,7,4,1,2,3,0,5,8,1,2,1,1,0,2,0,2,2,0,0,0,0,2,1,1,0,0,1,0,0,2,2,0,1,1
15,2.0,2.0,5.0,5.0,10.0,8.0,8.0,3.0,3,1.0,11.0,12.0,11.0,1,3,0,0,3,0,45,18,1,2,6,4,2,2,2,2,2,4,1,2,2,0,3,2,0,2,2,0,0,0,0,2,1,1,0,0,1,0,0,2,2,0,1,1
16,3.0,4.0,5.0,3.0,8.0,8.0,8.0,6.0,2,1.0,12.0,10.0,11.0,0,2,1,2,3,0,39,13,1,0,2,6,5,4,1,7,3,8,1,1,2,1,3,2,0,1,0,0,0,2,0,1,1,1,0,0,1,0,0,2,2,0,1,1
17,3.0,1.0,4.0,5.0,8.0,3.0,3.0,7.0,2,1.0,12.0,10.0,11.0,1,2,1,0,3,2,0,36,0,4,6,1,4,2,0,7,3,8,1,2,2,1,3,0,2,1,2,0,2,2,2,1,1,0,2,0,1,0,0,2,2,0,1,1
18,3.0,5.0,4.0,3.0,6.0,8.0,8.0,7.0,3,2.0,12.0,10.0,11.0,1,3,0,0,2,0,0,16,0,4,2,6,1,4,7,0,3,13,1,2,2,0,3,0,2,2,2,1,2,0,2,2,0,2,1,0,1,0,0,2,2,0,1,1
19,2.0,3.0,3.0,4.0,6.0,5.0,3.0,3.0,2,1.0,12.0,10.0,11.0,0,2,0,1,3,0,30,2,1,2,1,6,1,0,7,3,5,8,1,2,1,4,0,0,2,2,2,1,3,2,2,2,0,2,1,0,0,0,1,2,2,0,0,1
20,3.0,4.0,4.0,3.0,8.0,7.0,8.0,6.0,2,1.0,12.0,10.0,11.0,0,2,0,1,0,0,20,13,0,2,4,8,6,0,1,5,1,23,1,2,1,1,3,2,2,2,0,3,3,2,2,2,1,0,0,0,0,0,1,2,2,0,0,1
21,2.0,3.0,5.0,2.0,7.0,5.0,5.0,3.0,2,1.0,12.0,11.0,11.0,1,2,0,0,0,0,0,36,0,5,2,1,1,5,7,0,3,8,1,2,1,4,3,2,2,2,0,3,0,0,2,2,1,0,0,0,0,1,1,2,2,0,0,2
22,2.0,2.0,4.0,1.0,5.0,6.0,5.0,7.0,2,1.0,12.0,11.0,11.0,1,2,0,0,3,0,7,19,0,5,2,4,1,1,7,5,3,8,1,2,2,0,3,2,2,2,0,3,0,0,2,2,1,0,0,1,0,0,0,1,0,0,1,1
23,2.0,5.0,5.0,4.0,8.0,5.0,6.0,7.0,2,1.0,12.0,11.0,11.0,0,2,0,3,2,0,5,36,1,2,6,4,1,0,7,3,5,8,0,2,1,1,1,2,2,2,0,3,0,2,2,2,1,0,0,0,0,0,1,0,2,0,0,1
24,2.0,5.0,3.0,2.0,10.0,6.0,4.0,5.0,2,1.0,12.0,11.0,11.0,0,2,0,2,3,0,13,13,1,3,2,5,1,6,0,7,3,24,1,2,1,1,3,2,2,2,2,3,0,2,2,2,1,2,3,0,0,0,1,0,2,0,0,1
25,3.0,4.0,4.0,3.0,7.0,6.0,6.0,8.0,2,1.0,12.0,11.0,11.0,0,2,1,1,3,0,0,36,1,3,2,0,1,6,7,3,5,8,0,2,1,1,3,2,2,2,2,3,0,2,2,2,1,2,3,0,0,0,1,2,1,0,0,0
26,2.0,3.0,5.0,3.0,9.0,6.0,6.0,9.0,2,1.0,12.0,11.0,11.0,0,2,1,3,3,0,0,18,0,4,2,4,1,1,0,7,3,8,0,2,1,6,1,2,2,2,2,3,0,2,2,2,1,2,3,0,0,0,1,2,2,1,2,2
27,3.0,3.0,4.0,3.0,6.0,5.0,5.0,5.0,2,1.0,12.0,11.0,11.0,0,2,0,0,2,1,12,36,0,2,4,6,1,0,7,5,3,8,1,2,2,1,3,0,0,2,0,0,2,2,0,2,2,2,0,0,0,0,1,2,2,1,2,2
28,2.0,3.0,5.0,1.0,7.0,5.0,6.0,7.0,2,2.0,12.0,11.0,11.0,0,2,1,1,2,0,53,22,1,3,2,1,7,7,0,3,5,8,1,2,1,1,3,0,0,2,0,0,2,2,0,2,2,2,0,0,0,0,1,2,2,1,2,2
29,3.0,4.0,3.0,2.0,6.0,6.0,6.0,7.0,3,2.0,12.0,11.0,11.0,1,3,0,1,3,2,40,34,0,2,4,1,5,7,6,0,3,4,1,2,1,0,3,0,0,2,0,0,2,2,0,2,2,2,0,0,0,0,1,2,2,1,2,2
30,2.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3,2.0,13.0,9.0,11.0,1,3,1,0,3,0,37,22,0,4,1,4,2,6,7,0,3,4,0,2,1,0,3,2,2,2,2,2,0,2,2,1,2,2,2,0,0,0,1,2,2,1,2,2
31,3.0,3.0,5.0,3.0,7.0,6.0,6.0,6.0,2,1.0,13.0,9.0,11.0,0,2,1,1,2,0,5,19,1,3,2,6,1,0,1,5,3,8,1,2,2,7,3,2,2,2,2,2,0,1,2,2,2,2,2,0,0,0,1,0,1,1,0,2
32,3.0,3.0,5.0,3.0,7.0,6.0,6.0,5.0,2,1.0,13.0,10.0,11.0,0,2,0,0,0,0,28,7,1,2,4,1,1,3,0,2,2,8,0,2,2,5,1,2,2,2,2,2,0,0,2,1,2,2,2,0,0,0,1,2,2,0,0,1
33,3.0,4.0,3.0,2.0,8.0,7.0,8.0,6.0,2,1.0,13.0,10.0,11.0,0,2,1,1,3,0,29,28,1,0,2,4,1,1,7,3,5,8,1,2,1,6,1,2,2,2,2,2,0,0,2,1,2,2,2,0,0,0,1,0,2,1,0,2
34,2.0,5.0,4.0,1.0,7.0,5.0,3.0,4.0,2,1.0,13.0,10.0,11.0,0,2,0,0,0,0,5,27,1,4,4,2,1,1,6,3,7,8,1,2,1,0,0,2,2,2,2,2,0,2,2,1,2,2,2,2,0,0,1,0,2,1,2,2
35,1.0,1.0,5.0,1.0,10.0,6.0,7.0,8.0,2,1.0,13.0,10.0,11.0,0,2,1,5,3,0,5,26,0,5,2,4,1,1,5,3,7,8,0,2,0,0,1,2,2,2,2,2,0,2,2,1,2,2,2,0,0,0,1,0,2,0,0,2
36,2.0,4.0,4.0,3.0,7.0,5.0,4.0,4.0,2,1.0,13.0,10.0,11.0,0,2,1,5,2,0,25,2,1,1,4,2,1,0,5,7,3,8,0,2,1,6,1,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,1,0,2,1,2,1
37,2.0,4.0,2.0,4.0,8.0,5.0,5.0,8.0,2,1.0,13.0,10.0,11.0,0,2,0,2,2,0,2,4,0,3,6,2,1,5,1,7,3,8,1,2,1,0,3,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2
38,3.0,5.0,5.0,5.0,9.0,6.0,6.0,8.0,2,1.0,13.0,10.0,11.0,0,2,1,1,3,0,9,26,1,5,2,1,1,4,0,7,5,8,0,2,1,2,3,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,0,2,1,2,2
39,2.0,3.0,5.0,2.0,8.0,6.0,6.0,5.0,2,1.0,13.0,10.0,11.0,0,2,1,0,0,0,2,7,0,3,2,6,1,5,0,7,3,8,0,2,2,1,3,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,0,2,1,0,2
40,2.0,2.0,3.0,3.0,6.0,6.0,6.0,4.0,2,1.0,12.0,11.0,12.0,0,2,1,2,0,0,6,4,1,2,6,4,1,5,0,7,3,8,0,2,1,1,3,2,2,2,2,2,0,0,2,1,2,2,2,0,0,0,1,0,0,0,2,2
41,2.0,3.0,3.0,3.0,8.0,6.0,4.0,4.0,2,1.0,12.0,11.0,12.0,1,2,0,1,2,0,20,34,0,2,1,4,6,0,3,7,5,8,1,0,1,1,3,2,2,2,2,3,0,0,0,2,1,2,3,0,0,0,1,0,0,0,2,2
42,2.0,2.0,5.0,1.0,7.0,5.0,6.0,8.0,2,1.0,12.0,11.0,12.0,0,2,0,0,3,0,24,25,1,2,0,4,1,6,5,3,7,8,0,2,1,1,1,2,2,2,2,3,2,0,0,2,1,2,3,0,0,0,1,0,2,0,0,2
43,3.0,5.0,5.0,4.0,6.0,6.0,7.0,7.0,2,1.0,12.0,12.0,12.0,0,2,0,0,2,1,16,22,0,1,4,6,2,0,5,3,7,8,0,1,1,1,3,0,0,2,2,0,0,2,0,2,2,2,2,0,0,0,1,0,2,0,0,2
44,2.0,5.0,5.0,2.0,7.0,7.0,8.0,5.0,2,1.0,12.0,12.0,12.0,1,2,2,2,3,0,16,16,0,5,2,8,5,0,1,7,3,8,0,1,1,1,3,2,2,0,0,0,2,0,0,2,2,2,0,0,0,0,1,0,2,0,0,2
45,2.0,2.0,3.0,1.0,7.0,2.0,5.0,2.0,4,3.0,12.0,12.0,12.0,0,1,2,0,3,0,39,13,1,3,1,6,3,2,5,7,0,29,1,2,1,8,2,2,2,1,2,0,2,1,1,2,2,2,0,0,0,0,1,0,2,0,0,2
46,2.0,1.0,1.0,1.0,9.0,5.0,6.0,7.0,2,1.0,12.0,12.0,12.0,0,2,1,1,3,0,39,34,0,3,1,2,5,6,7,0,3,18,1,2,2,1,3,2,1,0,3,2,4,0,3,3,0,0,2,0,0,0,1,0,2,0,0,2
47,3.0,4.0,5.0,1.0,7.0,6.0,6.0,6.0,2,1.0,12.0,13.0,12.0,0,2,1,1,2,0,39,30,1,4,4,1,2,6,0,7,3,7,0,2,1,1,3,2,2,2,2,0,0,0,0,2,2,2,0,0,0,0,1,0,2,0,0,2
48,2.0,3.0,3.0,3.0,6.0,7.0,7.0,8.0,3,2.0,12.0,13.0,12.0,1,3,0,0,2,0,39,32,0,3,7,2,1,6,5,0,3,4,1,2,1,0,3,2,0,2,2,2,2,2,0,2,2,2,0,0,0,0,1,0,2,0,0,2
49,3.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,2,1.0,13.0,11.0,12.0,0,2,0,1,3,0,36,7,0,6,1,0,1,6,3,4,5,8,1,2,0,2,1,2,0,2,2,2,0,0,0,1,2,2,0,0,0,0,1,0,2,0,0,2
50,2.0,3.0,3.0,2.0,9.0,6.0,7.0,7.0,2,1.0,13.0,11.0,12.0,0,2,1,1,3,0,35,4,1,3,2,6,1,0,5,7,3,8,0,2,1,1,3,2,0,2,2,2,0,0,0,2,2,2,0,0,0,0,1,2,2,0,0,0
51,2.0,2.0,5.0,3.0,7.0,3.0,2.0,8.0,2,1.0,13.0,11.0,12.0,0,2,0,1,3,0,1,7,1,0,3,2,1,6,1,7,5,8,0,2,1,4,3,2,0,2,2,2,0,2,0,2,2,2,0,0,0,1,1,0,2,0,2,0
52,2.0,5.0,5.0,3.0,5.0,5.0,4.0,6.0,2,1.0,13.0,11.0,12.0,0,2,1,5,2,0,25,7,0,3,6,1,1,7,3,5,5,8,1,2,1,2,1,2,0,2,2,2,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,2
53,2.0,2.0,4.0,2.0,8.0,6.0,7.0,7.0,2,1.0,13.0,11.0,12.0,1,2,0,0,2,0,27,2,0,2,5,4,1,0,6,7,3,8,1,2,1,1,3,2,0,2,2,2,0,2,0,2,2,2,0,2,0,0,1,0,0,0,2,2
54,2.0,4.0,5.0,2.0,9.0,4.0,5.0,7.0,2,1.0,13.0,11.0,12.0,1,2,0,1,2,0,5,7,0,1,5,4,1,0,2,3,7,8,0,2,1,4,3,2,0,2,2,2,2,2,0,0,2,2,0,2,0,0,1,0,2,1,1,2
55,3.0,2.0,3.0,2.0,7.0,5.0,3.0,4.0,2,1.0,13.0,11.0,12.0,0,2,1,2,2,0,38,34,0,2,4,1,5,0,3,6,7,8,0,0,2,1,3,2,2,1,0,0,2,2,2,1,1,2,0,2,0,0,1,0,2,1,1,2
56,2.0,1.0,1.0,3.0,8.0,7.0,9.0,8.0,2,1.0,13.0,11.0,12.0,0,2,1,1,3,0,0,13,1,3,3,6,2,5,5,1,7,8,0,1,2,1,3,0,2,2,2,0,2,0,2,2,1,2,0,2,0,0,1,0,2,1,1,2
57,3.0,5.0,5.0,3.0,8.0,7.0,6.0,5.0,2,1.0,13.0,11.0,12.0,1,2,0,2,3,0,38,13,1,2,1,0,3,4,5,6,7,8,0,1,1,1,3,0,2,2,2,0,2,0,2,2,1,2,0,2,0,0,1,0,2,1,1,2
58,2.0,3.0,5.0,3.0,6.0,7.0,7.0,6.0,3,2.0,13.0,12.0,12.0,1,3,1,0,3,0,44,34,0,5,2,1,4,7,1,5,3,4,0,1,1,0,3,2,0,2,2,0,0,0,2,2,0,2,0,2,0,0,1,0,2,1,1,2
59,2.0,3.0,4.0,3.0,7.0,7.0,8.0,5.0,2,1.0,13.0,12.0,12.0,1,2,0,5,0,1,5,26,0,3,6,2,1,0,5,3,7,8,0,2,2,1,1,2,0,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,2,2
60,4.0,5.0,4.0,5.0,8.0,7.0,8.0,8.0,2,1.0,13.0,12.0,12.0,0,2,0,2,2,0,13,10,1,3,2,1,6,0,5,7,3,20,1,1,2,1,3,0,2,3,0,3,3,2,3,2,1,2,3,0,0,0,0,0,2,0,2,2
61,2.0,5.0,4.0,1.0,8.0,3.0,3.0,6.0,2,1.0,14.0,10.0,12.0,0,2,0,0,3,1,0,19,0,1,6,0,1,2,7,5,3,8,1,2,1,4,1,0,2,3,0,3,0,0,3,2,1,2,3,0,0,0,0,0,2,0,2,1
62,2.0,5.0,5.0,1.0,8.0,5.0,5.0,8.0,2,1.0,14.0,10.0,12.0,0,2,1,3,3,0,5,4,1,2,4,0,1,6,5,3,7,8,1,2,1,1,3,0,2,3,0,3,0,2,3,2,1,2,3,2,0,0,0,0,2,0,0,2
63,2.0,3.0,5.0,4.0,8.0,6.0,7.0,8.0,2,2.0,14.0,10.0,12.0,0,2,1,1,3,1,44,13,1,5,4,2,4,0,5,3,7,8,1,0,1,1,3,0,2,3,0,3,0,2,3,2,1,2,3,2,0,0,0,0,2,0,0,2
64,2.0,2.0,3.0,3.0,8.0,5.0,4.0,7.0,2,1.0,14.0,11.0,12.0,0,2,0,2,2,1,4,26,0,5,2,1,1,4,5,0,7,8,0,2,1,3,1,0,2,3,0,3,0,0,3,2,1,2,3,2,0,1,0,2,2,1,2,2
65,2.0,3.0,4.0,3.0,8.0,7.0,7.0,7.0,2,1.0,14.0,11.0,12.0,0,2,0,3,3,0,26,4,1,5,2,4,1,0,7,2,2,8,0,2,1,1,1,0,2,3,0,3,0,2,3,2,1,2,3,2,0,0,1,0,2,0,2,2
66,2.0,4.0,2.0,4.0,8.0,6.0,7.0,7.0,2,1.0,14.0,11.0,12.0,0,2,1,2,3,0,27,25,1,2,4,0,1,1,5,7,3,8,1,2,1,6,0,0,2,3,0,3,3,0,3,0,1,2,3,0,0,0,1,0,1,1,2,2
67,3.0,5.0,5.0,4.0,9.0,7.0,7.0,8.0,2,1.0,14.0,11.0,12.0,1,2,0,0,3,0,11,4,0,3,5,2,1,6,0,1,7,8,1,2,1,3,3,0,2,3,0,3,3,0,3,1,1,2,3,2,0,1,0,2,0,0,0,2
68,2.0,2.0,5.0,1.0,8.0,5.0,4.0,6.0,2,1.0,14.0,11.0,12.0,0,2,0,2,3,0,3,3,0,4,4,2,1,6,0,3,7,8,1,2,2,1,3,0,2,3,0,3,3,2,3,2,1,2,3,0,0,1,1,0,0,1,0,2
69,2.0,3.0,4.0,3.0,6.0,8.0,7.0,6.0,2,1.0,14.0,12.0,12.0,1,2,1,2,3,0,32,26,0,5,2,5,1,4,1,0,3,8,0,2,1,7,0,0,2,3,0,3,0,0,3,2,1,2,3,0,0,0,0,0,0,0,0,1
70,2.0,5.0,3.0,3.0,7.0,6.0,6.0,7.0,2,1.0,13.0,12.0,13.0,0,2,1,2,3,1,38,16,0,5,4,5,2,1,0,7,3,8,0,1,1,1,3,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1
71,2.0,3.0,5.0,4.0,8.0,5.0,6.0,6.0,2,1.0,13.0,12.0,13.0,0,2,0,3,3,0,13,31,0,3,2,0,6,1,5,7,3,8,1,2,1,1,3,2,2,2,0,3,0,2,0,2,2,2,3,0,0,0,0,0,0,0,0,1
72,3.0,4.0,5.0,4.0,6.0,7.0,6.0,5.0,2,2.0,13.0,12.0,13.0,1,2,1,1,3,0,40,0,0,2,4,1,6,7,5,0,3,8,1,2,2,1,3,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
73,3.0,4.0,4.0,4.0,7.0,6.0,7.0,5.0,3,2.0,13.0,12.0,13.0,1,3,0,0,3,1,48,22,0,5,4,1,2,0,7,5,3,4,1,0,2,0,3,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1
74,1.0,2.0,3.0,3.0,2.0,6.0,6.0,8.0,2,1.0,13.0,13.0,13.0,1,2,2,1,3,0,27,19,0,6,2,6,1,4,0,5,3,8,1,2,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,2,0,2
75,3.0,4.0,4.0,5.0,8.0,6.0,7.0,7.0,2,1.0,13.0,13.0,13.0,0,2,1,1,2,2,18,36,1,2,0,5,4,6,1,3,7,8,1,1,1,1,3,2,2,2,2,3,0,0,0,2,0,2,0,0,0,1,0,2,0,2,0,2
76,2.0,2.0,3.0,4.0,6.0,8.0,9.0,7.0,2,1.0,13.0,13.0,13.0,1,2,0,0,3,0,0,18,0,3,7,6,1,0,1,5,0,8,1,2,1,2,3,2,2,2,2,3,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0
77,3.0,5.0,5.0,2.0,10.0,9.0,7.0,8.0,2,1.0,13.0,13.0,13.0,0,2,0,3,2,0,39,13,0,3,2,6,1,0,5,3,7,8,1,2,1,1,3,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0
78,1.0,2.0,3.0,2.0,7.0,5.0,5.0,5.0,4,3.0,13.0,13.0,13.0,1,1,2,0,3,0,50,16,1,4,2,4,6,4,0,1,3,21,0,2,2,8,2,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0
79,3.0,4.0,4.0,3.0,8.0,8.0,7.0,7.0,2,1.0,13.0,13.0,13.0,0,2,0,1,3,0,54,35,0,5,2,2,1,7,7,3,5,8,1,0,1,1,3,0,2,2,2,0,2,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0
80,2.0,3.0,4.0,3.0,7.0,7.0,7.0,6.0,4,3.0,13.0,13.0,13.0,1,1,2,0,0,1,45,8,0,3,6,1,3,0,5,7,2,21,0,2,1,8,2,2,2,2,2,0,2,0,2,2,0,2,2,0,0,0,0,2,0,0,0,0
81,2.0,4.0,4.0,2.0,7.0,7.0,6.0,5.0,2,1.0,13.0,13.0,13.0,0,2,1,2,3,0,39,33,0,3,6,2,1,0,5,7,3,8,1,1,1,1,3,0,0,0,2,2,2,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0
82,2.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,2,1.0,13.0,13.0,13.0,1,2,2,0,3,0,15,10,1,3,2,7,1,0,6,3,5,8,0,2,2,1,3,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
83,3.0,3.0,3.0,2.0,7.0,6.0,6.0,7.0,3,2.0,13.0,13.0,13.0,1,3,0,0,3,0,53,8,1,2,4,5,6,1,3,7,0,4,0,0,2,0,3,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
84,2.0,4.0,4.0,4.0,9.0,7.0,9.0,8.0,4,3.0,13.0,13.0,13.0,0,1,0,0,3,0,18,34,1,2,0,1,4,3,5,6,7,21,1,2,1,8,2,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
85,2.0,2.0,4.0,5.0,8.0,7.0,6.0,7.0,3,2.0,13.0,13.0,13.0,0,3,1,2,0,0,38,30,0,2,4,6,1,0,5,7,3,4,0,0,1,0,3,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
86,2.0,3.0,4.0,2.0,9.0,7.0,7.0,6.0,4,3.0,13.0,14.0,13.0,0,1,0,0,3,1,13,22,1,5,2,1,0,3,5,4,4,21,0,2,1,8,2,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
87,3.0,4.0,5.0,3.0,7.0,7.0,8.0,9.0,2,1.0,14.0,12.0,13.0,0,2,1,2,2,0,8,4,1,2,4,6,1,5,0,3,7,8,0,2,1,1,1,2,0,4,2,4,0,0,1,2,2,2,4,0,0,1,0,0,2,2,2,2
88,2.0,3.0,3.0,2.0,9.0,3.0,4.0,7.0,2,1.0,14.0,12.0,13.0,0,2,0,3,2,0,6,29,1,3,2,1,1,6,3,0,7,8,1,2,1,5,1,2,0,4,2,4,0,2,1,2,2,2,4,2,0,0,0,0,2,0,2,0
89,3.0,4.0,4.0,3.0,9.0,7.0,8.0,5.0,2,1.0,14.0,12.0,13.0,1,2,1,1,3,0,17,31,0,2,4,1,6,0,5,3,7,3,1,1,1,1,3,0,2,0,3,3,0,2,0,2,2,2,0,2,0,0,0,0,2,0,2,0
90,3.0,4.0,4.0,3.0,7.0,7.0,7.0,7.0,2,1.0,14.0,12.0,13.0,1,2,0,1,3,0,45,31,0,2,6,5,4,1,0,7,3,8,0,0,2,1,3,0,0,0,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,0,2,0
