record_id,gender,study_year,study_hours_per_week,uses_planner,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,program_satisfaction,external_activities,motivation_level,ai_interest,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,year_ordinal,inferred_year_from_grades,y1_avg_s1,y1_avg_s2,y1_avg,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,bac_specialty_Science,bac_specialty_Technical maths,preferred_study_place_In the dorms' library,preferred_study_place_In the school's library,preferred_study_place_In your room (dorms),preferred_study_time_In peer,preferred_study_time_With a group,feedback_influence_Positively,feedback_influence_You do not care about
64,1,2,3,0,5,2,1,1,4,5,0,7,2.0,0,2.0,3.0,2,3.0,8.0,5.0,4.0,7.0,2,1.0,14.0,11.0,12.0,4,3,5,4,5,4,4,5,3,2,3,5,5,4,5,4,3,3,3,5,3,False,False,False,True,False,True,False,False,True
65,1,2,4,1,5,2,4,1,0,7,2,2,2.0,0,3.0,4.0,2,3.0,8.0,7.0,7.0,7.0,2,1.0,14.0,11.0,12.0,4,3,5,4,5,4,3,5,3,2,3,5,5,4,4,3,4,3,4,5,3,False,False,False,False,True,False,False,False,True
66,1,2,3,1,2,4,0,1,1,5,7,3,2.0,1,4.0,2.0,2,4.0,8.0,6.0,7.0,7.0,2,1.0,14.0,11.0,12.0,4,3,5,4,5,5,4,5,4,2,3,5,4,4,4,3,4,2,3,5,3,True,False,False,False,True,False,False,False,True
67,0,2,1,0,3,5,2,1,6,0,1,7,3.0,1,5.0,5.0,2,4.0,9.0,7.0,7.0,8.0,2,1.0,14.0,11.0,12.0,4,3,5,4,5,5,4,5,2,2,3,5,5,4,5,4,3,4,4,4,3,False,False,False,False,True,False,False,False,True
68,1,2,3,0,4,4,2,1,6,0,3,7,2.0,1,2.0,5.0,3,1.0,8.0,5.0,4.0,6.0,2,1.0,14.0,11.0,12.0,4,3,5,4,5,5,3,5,3,2,3,5,4,4,5,3,4,4,3,4,3,False,False,False,False,True,False,False,False,True
69,0,2,3,0,5,2,5,1,4,1,0,3,2.0,0,3.0,4.0,2,3.0,6.0,8.0,7.0,6.0,2,1.0,14.0,12.0,12.0,4,3,5,4,5,4,4,5,3,2,3,5,4,4,4,4,4,4,4,4,2,True,False,False,False,True,False,False,False,True
70,1,2,3,0,5,4,5,2,1,0,7,3,2.0,0,5.0,3.0,2,3.0,7.0,6.0,6.0,7.0,2,1.0,13.0,12.0,13.0,3,4,4,4,4,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,2,True,False,False,False,True,True,False,True,False
71,1,2,4,0,3,2,0,6,1,5,7,3,2.0,1,3.0,5.0,2,4.0,8.0,5.0,6.0,6.0,2,1.0,13.0,12.0,13.0,3,3,3,4,5,4,3,4,3,3,3,5,4,4,4,4,4,4,4,4,2,False,False,False,False,True,False,False,False,True
72,0,2,2,0,2,4,1,6,7,5,0,3,3.0,1,4.0,5.0,3,4.0,6.0,7.0,6.0,5.0,2,2.0,13.0,12.0,13.0,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,True,False,False,False,True,False,False,False,True
73,0,3,1,0,5,4,1,2,0,7,5,3,3.0,1,4.0,4.0,3,4.0,7.0,6.0,7.0,5.0,3,2.0,13.0,12.0,13.0,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,False,False,False,False,True,True,False,False,False
74,0,2,2,0,6,2,6,1,4,0,5,3,1.0,1,2.0,3.0,3,3.0,2.0,6.0,6.0,8.0,2,1.0,13.0,13.0,13.0,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,3,4,5,4,3,False,True,False,False,True,False,False,False,True
75,1,2,2,1,2,0,5,4,6,1,3,7,3.0,1,4.0,4.0,2,5.0,8.0,6.0,7.0,7.0,2,1.0,13.0,13.0,13.0,3,3,3,3,5,4,4,4,3,4,3,4,4,4,5,4,3,4,5,4,3,True,False,False,True,False,False,True,True,False
76,0,2,1,0,3,7,6,1,0,1,5,0,2.0,1,2.0,3.0,2,4.0,6.0,8.0,9.0,7.0,2,1.0,13.0,13.0,13.0,3,3,3,3,5,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,False,False,False,False,True,False,False,False,True
77,1,2,4,0,3,2,6,1,0,5,3,7,3.0,1,5.0,5.0,2,2.0,10.0,9.0,7.0,8.0,2,1.0,13.0,13.0,13.0,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,False,False,False,True,False,False,False,False,True
78,0,4,1,1,4,2,4,6,4,0,1,3,1.0,0,2.0,3.0,3,2.0,7.0,5.0,5.0,5.0,4,3.0,13.0,13.0,13.0,4,4,4,4,5,2,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,False,True,False,False,True,False,False,False,True
79,1,2,2,0,5,2,2,1,7,7,3,5,3.0,1,4.0,4.0,2,3.0,8.0,8.0,7.0,7.0,2,1.0,13.0,13.0,13.0,4,3,3,3,4,3,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,False,False,False,False,True,False,False,False,False
80,0,4,1,0,3,6,1,3,0,5,7,2,2.0,0,3.0,4.0,2,3.0,7.0,7.0,7.0,6.0,4,3.0,13.0,13.0,13.0,3,3,3,3,4,3,4,3,3,4,3,3,4,4,4,4,3,4,4,4,4,False,True,False,False,False,True,False,False,True
81,1,2,3,0,3,6,2,1,0,5,7,3,2.0,1,4.0,4.0,2,2.0,7.0,7.0,6.0,5.0,2,1.0,13.0,13.0,13.0,4,4,4,3,3,3,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,True,False,False,False,True,False,False,True,False
82,0,2,1,1,3,2,7,1,0,6,3,5,2.0,0,1.0,2.0,3,1.0,3.0,4.0,2.0,3.0,2,1.0,13.0,13.0,13.0,3,4,1,3,1,1,3,2,2,3,3,1,4,4,4,4,3,4,4,4,4,False,True,False,False,True,False,False,False,True
83,0,3,1,1,2,4,5,6,1,3,7,0,3.0,0,3.0,3.0,3,2.0,7.0,6.0,6.0,7.0,3,2.0,13.0,13.0,13.0,3,4,1,3,1,1,3,2,2,3,3,1,4,4,4,4,3,4,4,4,4,False,False,False,False,True,False,False,False,False
84,1,4,1,1,2,0,1,4,3,5,6,7,2.0,1,4.0,4.0,2,4.0,9.0,7.0,9.0,8.0,4,3.0,13.0,13.0,13.0,3,4,1,3,1,1,3,2,2,3,3,1,4,4,4,4,3,4,4,4,4,False,False,False,False,True,False,False,False,True
85,1,3,3,0,2,4,6,1,0,5,7,3,2.0,0,2.0,4.0,2,5.0,8.0,7.0,6.0,7.0,3,2.0,13.0,13.0,13.0,3,4,1,3,1,1,3,2,2,3,3,1,4,4,4,4,3,4,4,4,4,True,False,False,False,False,False,False,False,False
86,1,4,1,1,5,2,1,0,3,5,4,4,2.0,0,3.0,4.0,2,2.0,9.0,7.0,7.0,6.0,4,3.0,13.0,14.0,13.0,3,4,1,3,1,1,3,2,2,3,3,1,4,4,4,4,3,4,4,4,4,False,False,False,False,True,True,False,False,True
87,1,2,3,1,2,4,6,1,5,0,3,7,3.0,0,4.0,5.0,2,3.0,7.0,7.0,8.0,9.0,2,1.0,14.0,12.0,13.0,3,4,1,3,1,4,4,2,3,3,3,1,4,4,5,4,4,3,5,5,3,True,False,False,True,False,False,False,False,True
88,1,2,4,1,3,2,1,1,6,3,0,7,2.0,1,3.0,3.0,2,2.0,9.0,3.0,4.0,7.0,2,1.0,14.0,12.0,13.0,3,4,1,3,1,4,3,2,3,3,3,1,5,4,4,4,4,3,4,5,4,False,False,False,True,False,False,False,False,True
89,0,2,2,0,2,4,1,6,0,5,3,7,3.0,1,4.0,4.0,2,3.0,9.0,7.0,8.0,5.0,2,1.0,14.0,12.0,13.0,4,3,4,5,5,4,3,4,3,3,3,4,5,4,4,4,4,3,4,5,4,True,False,False,False,True,False,False,True,False
90,0,2,2,0,2,6,5,4,1,0,7,3,3.0,0,4.0,4.0,3,3.0,7.0,7.0,7.0,7.0,2,1.0,14.0,12.0,13.0,4,4,4,4,4,4,3,4,3,3,3,4,5,4,4,4,4,3,4,5,4,False,False,False,False,True,False,False,False,False
91,0,2,1,0,0,2,6,4,3,1,5,7,1.0,0,2.0,2.0,2,4.0,7.0,7.0,5.0,7.0,2,1.0,14.0,12.0,13.0,4,3,2,4,5,2,2,3,2,1,4,5,5,4,4,4,4,3,4,5,4,False,False,False,True,False,False,False,False,True
92,0,2,1,1,5,6,6,1,6,6,4,2,1.0,1,1.0,3.0,2,5.0,9.0,9.0,9.0,8.0,2,1.0,14.0,13.0,13.0,4,3,2,4,5,4,4,3,4,1,4,5,4,4,5,4,3,4,4,4,3,True,False,False,False,True,False,False,False,True
93,1,2,2,1,2,4,5,1,0,6,7,3,3.0,1,4.0,5.0,3,1.0,9.0,5.0,6.0,7.0,2,2.0,14.0,13.0,13.0,2,3,3,3,5,4,4,3,2,3,3,5,4,4,5,4,3,4,4,4,3,False,False,False,False,False,False,False,False,False
