record_id,timestamp,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,1y average s1,1y average s2,1y average,2y average s1,2y average s2,2y average,3y average s1,3y average s2,3y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,4 forth,how do others feedbacks influence you,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin
12,2025/01/08 7:24:02 PM GMT+1,Male,Second year,Mathematics,10-17,In the school's library,In peer,Lectures,Online tutorials;YouTube videos,No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Private life problems,Not having a good (powerful) computer,Private life problems,.,2,Yes,3,4,You do not care about,5-7 hours,5,8,6,6,6,,,10.0,9.0,,,,,,Moderate,Low,Low,High,High,Moderate,Moderate,High,Moderate,High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2025/01/08 11:21:36 PM GMT+1,Female,Second year,Science,10-17,In your room (dorms),In peer,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,No,Pressure,Lack of time,Teachers' teaching method,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,,3,No,4,4,Negatively,5-7 hours,3,8,5,6,6,10.0,12.0,11.0,,,,,,,Moderate,High,Moderate,Moderate,High,Moderate,High,High,Very Low,Low,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Male,Second year,Mathematics,More than 41 hours,In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Teachers' teaching method,Teaching language,Pressure,,Lack of time,Not having a good (powerful) computer,Bad quality of internet,Private life problems,,1,Yes,5,1,,5-7 hours,1,4,8,7,9,11.0,10.0,11.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Negatively,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Low,,,,,,,,,,,,,
15,2025/01/13 12:36:32 PM GMT+1,Male,Thirs year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online documents,Yes,Lack of time,Teachers' teaching method,Pressure,Lack of time,Lack of time,Lack of time,Lack of time,Lack of time,,2,Yes,2,5,You do not care about,8 hours or more,5,10,8,8,3,11.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2025/01/08 6:08:46 PM GMT+1,Female,Second year,Science,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Bad quality of internet,Lack of time,Teachers' teaching method,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,,3,Yes,4,5,Positively,8 hours or more,3,8,8,8,6,12.0,10.0,11.0,,,,,,,Moderate,High,Low,High,High,High,Moderate,High,Low,Low,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2025/01/10 1:56:06 AM GMT+1,Male,Second year,Science,10-17,In your room (dorms),With a group,Learning by practicing,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,3,Yes,1,4,You do not care about,8 hours or more,5,8,3,3,7,12.0,10.0,11.0,,,,,,,High,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,Low,Low,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2025/01/09 10:53:46 AM GMT+1,Male,Thirs year,Mathematics,10-17,In the school's library,Alone,Learning by practicing,Books;YouTube videos,No,Private life problems,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Nothing ,3,Yes,5,4,You do not care about,8 hours or more,3,6,8,8,7,12.0,10.0,11.0,12.0,10.0,11.0,,,,High,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Moderate,High,Moderate,Low,High,High,High,High,Very Low,Very High,High,High,High,Moderate,High,Low,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops","Books, Online documents, YouTube videos",Yes,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,,2,Yes,3,3,,5-7 hours,4,6,5,3,3,12.0,10.0,11.0,,,,,,,,,,,,Very High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,Negatively,High,High,High,Moderate,Moderate,Moderate,High,High,Low,,,,,,,,,,,,,
20,2025/01/08 6:08:00 PM GMT+1,Female,Second year,Mathematics,18-25,At home,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,ما,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Transportation ,3,Yes,4,4,You do not care about,5-7 hours,3,8,7,8,6,12.0,10.0,11.0,,,,,,,Moderate,Moderate,Moderate,High,Very High,Very High,Moderate,Moderate,Moderate,Low,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Male,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,YouTube videos,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,,2,Yes,3,5,,5-7 hours,2,7,5,5,3,12.0,11.0,11.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,High,High,Very High,Moderate,Moderate,Moderate,High,High,Moderate,,,,,,,,,,,,,
22,,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,,2,Yes,2,4,,8 hours or more,1,5,6,5,7,12.0,11.0,11.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,Moderate,High,High,High,Low,High,High,Moderate,Low,,,,,,,,,,,,,
23,,Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Lack of time,Teachers' teaching method,Pressure,,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,,2,No,5,5,,5-7 hours,4,8,5,6,7,12.0,11.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,High,High,High,Moderate,High,Moderate,High,High,Low,,,,,,,,,,,,,
24,2025/01/10 1:05:26 AM GMT+1,Female,Second year,Mathematics,26-33,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Trying to balence life with studies ,2,Yes,5,3,You do not care about,5-7 hours,2,10,6,4,5,12.0,11.0,11.0,,,,,,,Moderate,Moderate,Moderate,Moderate,Very High,High,Moderate,Moderate,Moderate,Low,Moderate,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,,3,No,4,4,,5-7 hours,3,7,6,6,8,12.0,11.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,High,High,High,Moderate,Moderate,Low,High,High,High,,,,,,,,,,,,,
26,,Female,Second year,Science,34-41,In your room (dorms),Alone,Learning by practicing,Online documents,No,Private life problems,Lack of time,Pressure,,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,2,No,3,5,,5-7 hours,3,9,6,6,9,12.0,11.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Positively,High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,,,,,,,,,,,,,
27,2025/01/08 8:04:53 PM GMT+1,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Interactive workshops,YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,,3,Yes,3,4,You do not care about,8 hours or more,3,6,5,5,5,12.0,11.0,11.0,,,,,,,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2025/01/08 7:06:31 PM GMT+1,Female,Second year,Science,18-25,In the school's library,Alone,Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,,2,Yes,3,5,You do not care about,5-7 hours,1,7,5,6,7,12.0,11.0,11.0,8.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2025/01/09 1:20:11 PM GMT+1,Male,Thirs year,Mathematics,18-25,In your room (dorms),With a group,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,,3,Yes,4,3,You do not care about,5-7 hours,2,6,6,6,7,12.0,11.0,11.0,11.0,11.0,11.0,,,,High,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2025/01/12 4:57:12 PM GMT+1,Male,Thirs year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing,Online documents;YouTube videos,No,Private life problems,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,,2,No,4,3,You do not care about,5-7 hours,3,5,4,4,5,13.0,9.0,11.0,11.0,12.0,12.0,,,,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Female,Second year,Science,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,,3,Yes,3,5,,8 hours or more,3,7,6,6,6,13.0,9.0,11.0,,,,,,,,,,,,High,Low,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,You do not care about,High,High,High,Moderate,High,Low,Moderate,High,Moderate,,,,,,,,,,,,,
32,,Female,Second year,Mathematics,10-17,At home,Alone,"Lectures, Learning by practicing, Project-based learning","Books, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,,Not having a good (powerful) computer,Bad quality of internet,Lack of time,Lack of time,,3,No,3,5,,8 hours or more,3,7,6,6,5,13.0,10.0,11.0,,,,,,,,,,,,High,High,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,Positively,High,High,High,Moderate,Moderate,Moderate,High,High,Low,,,,,,,,,,,,,
33,,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos, couses and slides sent by our teachers",Yes,Bad quality of internet,Lack of time,Pressure,,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,,3,Yes,4,3,,5-7 hours,2,8,7,8,6,13.0,10.0,11.0,,,,,,,,,,,,High,High,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Positively,High,High,High,Moderate,High,Moderate,Moderate,High,Moderate,,,,,,,,,,,,,
34,,Female,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, asking friends",Yes,Private life problems,Pressure,Lack of time,,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,,2,Yes,5,4,,5-7 hours,1,7,5,3,4,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,Negatively,Very High,High,High,Moderate,High,Moderate,Moderate,Very High,Moderate,,,,,,,,,,,,,
35,,Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,,1,No,1,5,,4 hours or less,1,10,6,7,8,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,Positively,High,High,High,Moderate,High,Moderate,High,High,Moderate,,,,,,,,,,,,,
36,,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,,2,No,4,4,,5-7 hours,3,7,5,4,4,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Positively,High,High,High,Moderate,High,Moderate,Moderate,Very High,Low,,,,,,,,,,,,,
37,,Female,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,,2,Yes,4,2,,5-7 hours,4,8,5,5,8,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,High,High,High,High,Moderate,Moderate,High,High,Moderate,,,,,,,,,,,,,
38,,Female,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,,Pressure,Bad quality of internet,Teaching language,Private life problems,,3,No,5,5,,5-7 hours,5,9,6,6,8,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,Very High,High,High,Moderate,High,Moderate,Moderate,Very High,Moderate,,,,,,,,,,,,,
39,,Female,Second year,Science,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,2,No,3,5,,8 hours or more,2,8,6,6,5,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,Very High,High,High,Moderate,High,Moderate,Moderate,High,Moderate,,,,,,,,,,,,,
40,,Female,Second year,Science,26-33,At home,Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Pressure,,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,2,No,2,3,,5-7 hours,3,6,6,6,4,12.0,11.0,12.0,,,,,,,,,,,,High,High,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,High,High,High,Moderate,High,High,High,Very High,Moderate,,,,,,,,,,,,,
41,2025/01/11 11:59:38 AM GMT+1,Male,Second year,Mathematics,18-25,In the school's library,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,,2,Yes,3,3,Negatively,5-7 hours,3,8,6,4,4,12.0,11.0,12.0,,,,,,,Moderate,Moderate,Moderate,Moderate,Very High,High,High,High,Moderate,Low,Moderate,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
