record_id,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,1Y_math_avg,1Y_math_n,1Y_programming_avg,1Y_programming_n,1Y_other_avg,1Y_other_n,1Y_all_modules_avg,1Y_all_modules_n
27,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Interactive workshops,YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,3.0,4.0,You do not care about,8 hours or more,3.0,6.0,5.0,5.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,11.0,11.0,3.25,4,3.6666666666666665,3,3.6,5,3.5,12
28,Female,Second year,Science,18-25,In the school's library,Alone,Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,Yes,3.0,5.0,You do not care about,5-7 hours,1.0,7.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,12.0,11.0,11.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0
29,Male,Third year,Mathematics,18-25,In your room (dorms),With a group,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,Yes,4.0,3.0,You do not care about,5-7 hours,2.0,6.0,6.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,12.0,11.0,11.0,4.0,1,4.0,1,3.0,1,3.6666666666666665,3
30,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing,Online documents;YouTube videos,No,Private life problems,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,4.0,3.0,You do not care about,5-7 hours,3.0,5.0,4.0,4.0,5.0,Bad quality of internet,You do not care about,3,2.0,13.0,9.0,11.0,2.75,4,3.0,3,3.2,5,3.0,12
31,Female,Second year,Science,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,3.0,5.0,You do not care about,8 hours or more,3.0,7.0,6.0,6.0,6.0,Teaching language,You do not care about,2,1.0,13.0,9.0,11.0,3.2,5,2.0,2,4.0,5,3.3333333333333335,12
32,Female,Second year,Mathematics,10-17,At home,Alone,"Lectures, Learning by practicing, Project-based learning","Books, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Lack of time,Lack of time,Lack of motivation,3.0,No,3.0,5.0,You do not care about,8 hours or more,3.0,7.0,6.0,6.0,5.0,Private life problems,Positively,2,1.0,13.0,10.0,11.0,3.0,5,3.5,2,3.8,5,3.4166666666666665,12
33,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos, couses and slides sent by our teachers",Yes,Bad quality of internet,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,3.0,Yes,4.0,3.0,You do not care about,5-7 hours,2.0,8.0,7.0,8.0,6.0,Teachers' teaching method,Positively,2,1.0,13.0,10.0,11.0,3.0,5,3.5,2,4.0,5,3.5,12
34,Female,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, asking friends",Yes,Private life problems,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,Yes,5.0,4.0,You do not care about,5-7 hours,1.0,7.0,5.0,3.0,4.0,Bad quality of internet,Negatively,2,1.0,13.0,10.0,11.0,3.0,5,3.0,2,4.4,5,3.5833333333333335,12
35,Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,1.0,No,1.0,5.0,You do not care about,4 hours or less,1.0,10.0,6.0,7.0,8.0,Bad quality of internet,Positively,2,1.0,13.0,10.0,11.0,3.2,5,3.0,2,4.0,5,3.5,12
36,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,4.0,4.0,You do not care about,5-7 hours,3.0,7.0,5.0,4.0,4.0,Teachers' teaching method,Positively,2,1.0,13.0,10.0,11.0,3.0,5,3.0,2,4.2,5,3.5,12
37,Female,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,4.0,2.0,You do not care about,5-7 hours,4.0,8.0,5.0,5.0,8.0,Bad quality of internet,You do not care about,2,1.0,13.0,10.0,11.0,3.6,5,3.0,2,3.8,5,3.5833333333333335,12
38,Female,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Teaching language,Private life problems,Lack of motivation,3.0,No,5.0,5.0,You do not care about,5-7 hours,5.0,9.0,6.0,6.0,8.0,Lack of time,You do not care about,2,1.0,13.0,10.0,11.0,3.2,5,3.0,2,4.4,5,3.6666666666666665,12
39,Female,Second year,Science,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,5.0,You do not care about,8 hours or more,2.0,8.0,6.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,10.0,11.0,3.2,5,3.0,2,4.2,5,3.5833333333333335,12
40,Female,Second year,Science,26-33,At home,Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,2.0,3.0,You do not care about,5-7 hours,3.0,6.0,6.0,6.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,11.0,12.0,3.2,5,4.0,2,4.2,5,3.75,12
41,Male,Second year,Mathematics,18-25,In the school's library,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,Lack of motivation,2.0,Yes,3.0,3.0,Negatively,5-7 hours,3.0,8.0,6.0,4.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,11.0,12.0,2.75,4,3.6666666666666665,3,4.0,5,3.5,12
42,Female,Second year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents",Yes,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,2.0,5.0,You do not care about,5-7 hours,1.0,7.0,5.0,6.0,8.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,12.0,11.0,12.0,3.4,5,3.5,2,3.8,5,3.5833333333333335,12
43,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Online courses and tutorials,Online documents;YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Lack of time,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,No,5.0,5.0,Positively,5-7 hours,4.0,6.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,12.0,12.0,3.25,4,3.6666666666666665,3,3.4,5,3.4166666666666665,12
44,Male,Second year,Technical maths,26-33,In your room (dorms),Alone,Learning by practicing;Online courses and tutorials,Books;YouTube videos,No,Teachers' teaching method,Lack of time,ما,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,5.0,5.0,Positively,5-7 hours,2.0,7.0,7.0,8.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,12.0,12.0,3.0,4,3.6666666666666665,3,3.8,5,3.5,12
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Private life problems,Teaching language,Bad quality of internet,"social media addiction , health problems, not being able to work on a team in group projects",2.0,Yes,2.0,3.0,You do not care about,5-7 hours,1.0,7.0,2.0,5.0,2.0,Unknown,Unknown,4,3.0,12.0,12.0,12.0,3.0,4,2.3333333333333335,3,3.2,5,2.9166666666666665,12
46,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating,2.0,Yes,1.0,1.0,You do not care about,8 hours or more,1.0,9.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,12.0,12.0,4.0,4,3.6666666666666665,3,3.2,5,3.5833333333333335,12
47,Female,Second year,Science,18-25,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents,Yes,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of energy,3.0,No,4.0,5.0,You do not care about,5-7 hours,1.0,7.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,13.0,12.0,3.0,4,3.6666666666666665,3,3.6,5,3.4166666666666665,12
48,Male,Third year,Mathematics,10-17,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos;Chat GPT,No,Pressure,Teaching language,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,3.0,3.0,You do not care about,5-7 hours,3.0,6.0,7.0,7.0,8.0,Bad quality of internet,You do not care about,3,2.0,12.0,13.0,12.0,3.0,4,3.5,2,3.0,3,3.111111111111111,9
